asset_id,campaign_name,campaign_id,creative_name,platform,audience_segment,region,daily_budget_usd,fast_pacing,warm_color_palette,ctr,conversion_rate,impressions,clicks,conversions,revenue_usd,roas,cpa_usd,logo_screen_ratio,scene_transitions,time_to_first_product_s,cta_type,audio_style,video_duration_s,quarter,flight_start,flight_end
VEL-2026-Q1-0000,Winter Training Push,vel_winter_training_2026,Runner_Sunrise,TikTok,Millennials (25-34),APAC,6046.63,0,0,0.044855,0.00699,548512,24603,1200,55755.7,7.8,5.5,0.216,3,2.9,Limited Time,upbeat-electronic,20.0,Q3 2026,2026-02-13,2026-03-08
VEL-2026-Q2-0001,Back to Campus Athletics,vel_campus_athletics_2026,Cycling_Mountain,Meta,Gen-X (35-44),US-West,2237.52,0,0,0.031122,0.013752,730853,22745,1200,32490.27,7.8,5.5,0.092,6,6.8,Learn More,hip-hop,7.6,Q1 2026,2026-02-17,2026-03-07
VEL-2026-Q3-0002,Trail Running Adventure,vel_trail_adventure_2026,HIIT_Studio,YouTube,Gen-Z (18-24),US-West,14625.39,1,1,0.089,0.019263,668012,59453,1200,41923.5,2.69,12.97,0.243,14,1.9,Learn More,upbeat-electronic,21.6,Q1 2026,2026-02-13,2026-03-01
VEL-2026-Q4-0003,Back to Campus Athletics,vel_campus_athletics_2026,Runner_Sunrise,TikTok,Gen-Z (18-24),US-West,790.38,1,1,0.06853,0.026842,262777,18008,1200,40169.95,7.8,5.5,0.14,16,1.0,Shop Now,acoustic-indie,17.7,Q1 2026,2026-02-07,2026-03-05
VEL-2026-Q1-0004,Winter Training Push,vel_winter_training_2026,Cycling_Mountain,TikTok,Gen-Z (18-24),US-East,11189.11,1,1,0.070298,0.011774,192567,13537,1200,49985.75,4.11,10.14,0.049,11,3.3,Discover,voiceover-only,18.9,Q4 2026,2026-03-03,2026-03-15
VEL-2026-Q2-0005,Trail Running Adventure,vel_trail_adventure_2026,Runner_Sunrise,Meta,Gen-Z (18-24),APAC,11644.7,0,0,0.038825,0.016553,38703,1502,640,30023.99,2.55,18.36,0.117,2,6.9,Shop Now,upbeat-electronic,26.0,Q4 2026,2026-02-27,2026-03-13
VEL-2026-Q3-0006,Trail Running Adventure,vel_trail_adventure_2026,Cycling_Mountain,YouTube,Gen-Z (18-24),US-West,4033.02,1,0,0.086731,0.035,83453,7237,1200,49183.55,7.8,5.5,0.223,14,2.2,Discover,upbeat-electronic,14.2,Q3 2026,2026-02-16,2026-03-07
VEL-2026-Q4-0007,Summer Endurance Launch,vel_summer_endurance_2026,Runner_Sunrise,YouTube,Gen-Z (18-24),APAC,10237.6,1,1,0.089,0.028598,637766,56761,1200,63516.94,5.29,10.01,0.27,7,1.7,Shop Now,voiceover-only,10.2,Q1 2026,2026-02-24,2026-03-04
VEL-2026-Q1-0008,Winter Training Push,vel_winter_training_2026,CrossFit_Box,TikTok,Gen-Z (18-24),US-East,1847.47,1,1,0.072327,0.011044,526738,38097,1200,64251.93,7.8,5.5,0.106,10,7.3,Learn More,upbeat-electronic,19.2,Q4 2026,2026-03-04,2026-03-29
VEL-2026-Q2-0009,Winter Training Push,vel_winter_training_2026,CrossFit_Box,Instagram,Millennials (25-34),US-West,4227.19,0,1,0.041742,0.00949,844593,35254,1200,43012.75,7.8,5.5,0.099,11,7.5,Discover,upbeat-electronic,28.7,Q3 2026,2026-01-24,2026-02-21
VEL-2026-Q3-0010,Summer Endurance Launch,vel_summer_endurance_2026,CrossFit_Box,TikTok,Gen-X (35-44),EU-West,11924.58,1,0,0.048494,0.013193,212063,10283,1200,57996.49,4.35,11.11,0.175,16,0.6,Shop Now,voiceover-only,18.4,Q1 2026,2026-02-01,2026-02-17
